"order_id","order_status_id","user_id","status"
37423,6,0,ADMIN_CANCELED
37424,6,35112,ADMIN_CANCELED
37426,2,35112,ORDER_CONFIRMED
37427,1,35129,ORDER_CREATE
37427,2,35129,ORDER_CONFIRMED
37427,6,35128,ADMIN_CANCELED
37426,6,0,ADMIN_CANCELED
37428,1,35129,ORDER_CREATE
37428,2,35129,ORDER_CONFIRMED
37429,2,35112,ORDER_CONFIRMED
37429,6,35112,ADMIN_CANCELED
37428,10,35133,ORDER_ACCEPTED
37428,6,35128,ADMIN_CANCELED
37430,2,35112,ORDER_CONFIRMED
37430,10,35111,ORDER_ACCEPTED
37431,1,35129,ORDER_CREATE
37431,2,35129,ORDER_CONFIRMED
37432,2,35112,ORDER_CONFIRMED
37432,10,35111,ORDER_ACCEPTED
37431,10,35130,ORDER_ACCEPTED
37425,6,0,ADMIN_CANCELED
37432,6,35112,ADMIN_CANCELED
37431,5,35129,BORROWER_CANCELED
37433,1,35129,ORDER_CREATE
37433,2,35129,ORDER_CONFIRMED
37434,2,35112,ORDER_CONFIRMED
37434,6,35112,ADMIN_CANCELED
37435,2,35112,ORDER_CONFIRMED
37436,1,35129,ORDER_CREATE
37436,2,35129,ORDER_CONFIRMED
37437,2,35112,ORDER_CONFIRMED
37436,6,35128,ADMIN_CANCELED
37433,6,0,ADMIN_CANCELED
37438,1,35129,ORDER_CREATE
37438,2,35129,ORDER_CONFIRMED
37435,6,0,ADMIN_CANCELED
37438,10,35133,ORDER_ACCEPTED
37439,2,35112,ORDER_CONFIRMED
37439,6,35112,ADMIN_CANCELED
37438,6,35128,ADMIN_CANCELED
37440,2,35112,ORDER_CONFIRMED
37440,10,35111,ORDER_ACCEPTED
37437,6,35112,ADMIN_CANCELED
37441,1,35129,ORDER_CREATE
37441,2,35129,ORDER_CONFIRMED
37440,6,35112,ADMIN_CANCELED
37441,6,35128,ADMIN_CANCELED
37441,5,35129,BORROWER_CANCELED
37442,1,35129,ORDER_CREATE
37442,2,35129,ORDER_CONFIRMED
37443,2,35112,ORDER_CONFIRMED
37442,6,35128,ADMIN_CANCELED
37445,2,35112,ORDER_CONFIRMED
37446,1,35129,ORDER_CREATE
37446,2,35129,ORDER_CONFIRMED
37447,2,35112,ORDER_CONFIRMED
37443,6,0,ADMIN_CANCELED
37446,10,35130,ORDER_ACCEPTED
37446,6,35128,ADMIN_CANCELED
37447,6,35112,ADMIN_CANCELED
37448,2,35112,ORDER_CONFIRMED
37445,6,0,ADMIN_CANCELED
37448,10,35111,ORDER_ACCEPTED
37449,1,35129,ORDER_CREATE
37449,2,35129,ORDER_CONFIRMED
37449,6,35128,ADMIN_CANCELED
37450,2,35112,ORDER_CONFIRMED
37448,6,35112,ADMIN_CANCELED
37451,1,35129,ORDER_CREATE
37451,2,35129,ORDER_CONFIRMED
37449,5,35129,BORROWER_CANCELED
37452,2,35112,ORDER_CONFIRMED
37451,10,35130,ORDER_ACCEPTED
37451,6,35128,ADMIN_CANCELED
37450,6,0,ADMIN_CANCELED
37452,6,35112,ADMIN_CANCELED
37453,2,35112,ORDER_CONFIRMED
37454,1,35129,ORDER_CREATE
37454,2,35129,ORDER_CONFIRMED
37453,10,35132,ORDER_ACCEPTED
37455,2,35112,ORDER_CONFIRMED
37456,1,35129,ORDER_CREATE
37456,2,35129,ORDER_CONFIRMED
37454,6,0,ADMIN_CANCELED
37457,1,35129,ORDER_CREATE
37457,2,35129,ORDER_CONFIRMED
37455,6,0,ADMIN_CANCELED
37457,10,35133,ORDER_ACCEPTED
37456,6,0,ADMIN_CANCELED
37458,1,35129,ORDER_CREATE
37458,2,35129,ORDER_CONFIRMED
37459,1,35109,ORDER_CREATE
37459,2,35109,ORDER_CONFIRMED
37458,6,35128,ADMIN_CANCELED
37460,1,35129,ORDER_CREATE
37460,2,35129,ORDER_CONFIRMED
37459,10,35111,ORDER_ACCEPTED
37460,10,35133,ORDER_ACCEPTED
37459,5,35109,BORROWER_CANCELED
37461,1,35129,ORDER_CREATE
37461,2,35129,ORDER_CONFIRMED
37461,5,35129,BORROWER_CANCELED
37462,1,35129,ORDER_CREATE
37462,2,35129,ORDER_CONFIRMED
37462,10,0,ORDER_ACCEPTED
37463,2,35062,ORDER_CONFIRMED
37463,10,35062,ORDER_ACCEPTED
37464,1,35129,ORDER_CREATE
37464,2,35129,ORDER_CONFIRMED
37464,10,0,ORDER_ACCEPTED
37465,1,35109,ORDER_CREATE
37465,2,35109,ORDER_CONFIRMED
37465,10,35112,ORDER_ACCEPTED
37466,1,35109,ORDER_CREATE
37466,2,35109,ORDER_CONFIRMED
37466,10,35112,ORDER_ACCEPTED
37467,1,35129,ORDER_CREATE
37467,2,35129,ORDER_CONFIRMED
37467,10,35133,ORDER_ACCEPTED
37467,7,35128,ORDER_DELIVERED
37467,9,35128,ORDER_COMPLETE
37468,1,35129,ORDER_CREATE
37468,2,35129,ORDER_CONFIRMED
37468,10,0,ORDER_ACCEPTED
37469,1,35129,ORDER_CREATE
37469,2,35129,ORDER_CONFIRMED
37470,1,35129,ORDER_CREATE
37470,2,35129,ORDER_CONFIRMED
37470,10,35128,ORDER_ACCEPTED
37471,1,35129,ORDER_CREATE
37471,2,35129,ORDER_CONFIRMED
37471,10,35128,ORDER_ACCEPTED
37472,1,35129,ORDER_CREATE
37472,2,35129,ORDER_CONFIRMED
37473,1,35109,ORDER_CREATE
37473,2,35109,ORDER_CONFIRMED
37473,10,35112,ORDER_ACCEPTED
37473,5,35109,BORROWER_CANCELED
37474,1,35129,ORDER_CREATE
37474,2,35129,ORDER_CONFIRMED
37474,10,0,ORDER_ACCEPTED
37474,6,35128,ADMIN_CANCELED
37475,1,35129,ORDER_CREATE
37475,2,35129,ORDER_CONFIRMED
37475,10,0,ORDER_ACCEPTED
37476,1,35109,ORDER_CREATE
37476,2,35109,ORDER_CONFIRMED
37477,1,35129,ORDER_CREATE
37477,2,35129,ORDER_CONFIRMED
37469,6,0,ADMIN_CANCELED
37476,10,35112,ORDER_ACCEPTED
37477,10,0,ORDER_ACCEPTED
37477,5,35129,BORROWER_CANCELED
37476,6,35112,ADMIN_CANCELED
37478,1,35109,ORDER_CREATE
37478,2,35109,ORDER_CONFIRMED
37478,10,35112,ORDER_ACCEPTED
37479,1,35129,ORDER_CREATE
37479,2,35129,ORDER_CONFIRMED
37479,10,0,ORDER_ACCEPTED
37480,1,35109,ORDER_CREATE
37480,2,35109,ORDER_CONFIRMED
37480,10,35112,ORDER_ACCEPTED
37481,1,35129,ORDER_CREATE
37481,2,35129,ORDER_CONFIRMED
37481,10,35128,ORDER_ACCEPTED
37480,5,35109,BORROWER_CANCELED
37482,1,35129,ORDER_CREATE
37482,2,35129,ORDER_CONFIRMED
37483,1,35109,ORDER_CREATE
37483,2,35109,ORDER_CONFIRMED
37482,10,0,ORDER_ACCEPTED
37482,6,35128,ADMIN_CANCELED
37484,1,35109,ORDER_CREATE
37484,2,35109,ORDER_CONFIRMED
37484,10,35112,ORDER_ACCEPTED
37484,6,35112,ADMIN_CANCELED
37483,6,0,ADMIN_CANCELED
37484,5,35109,BORROWER_CANCELED
37485,1,35129,ORDER_CREATE
37485,2,35129,ORDER_CONFIRMED
37485,10,0,ORDER_ACCEPTED
37485,6,35128,ADMIN_CANCELED
37486,2,35128,ORDER_CONFIRMED
37486,10,35128,ORDER_ACCEPTED
37487,2,35128,ORDER_CONFIRMED
37487,10,35128,ORDER_ACCEPTED
37488,2,35128,ORDER_CONFIRMED
